surface,rooms,floor,balcony,parking,age,district,price
164,5,0,0,1,59,luxe,768311.4348057238
57,2,12,1,1,46,calme,255296.49274951516
43,3,7,0,1,24,populaire,165675.18400231283
88,2,10,0,1,65,calme,328608.3377642814
135,2,6,1,0,78,centre,495389.26052165334
117,7,8,1,1,66,centre,590754.0938091032
217,1,10,1,1,68,calme,753270.1316492399
233,2,2,0,1,39,calme,872418.3019309607
158,2,9,0,0,49,luxe,688076.1499754399
163,7,11,0,0,39,luxe,787861.4947467997
116,7,4,0,1,36,populaire,442887.378056599
220,3,2,1,1,68,luxe,935774.0511530878
143,7,14,0,0,16,centre,670992.072341995
206,3,4,1,0,61,centre,810658.8074690633
89,4,9,0,1,40,calme,441808.2887853716
227,7,0,0,0,75,populaire,713494.0627034084
112,1,13,0,1,41,luxe,559437.8671950735
22,2,10,1,0,30,populaire,52187.110810293016
167,1,3,1,1,32,centre,661761.7643917804
206,5,5,1,1,42,centre,825436.5307649312
183,7,1,1,1,66,luxe,822735.618111752
166,2,12,0,1,37,luxe,791665.0073541463
109,1,6,0,0,40,luxe,502162.6301403823
214,7,7,0,0,62,calme,821377.2074218914
166,7,0,0,1,39,centre,738903.2404120956
167,4,12,0,0,29,calme,633951.2399407924
115,4,3,1,1,46,centre,493570.8816639759
218,2,10,1,0,21,luxe,947009.5478874162
71,5,3,0,1,54,centre,296446.34411940514
180,4,12,0,0,42,centre,792276.7940441713
187,4,4,0,0,60,populaire,622669.3737482681
147,5,13,0,0,73,centre,614287.5652762426
58,1,11,1,0,31,centre,293137.79417939
101,4,11,0,1,3,populaire,431582.4824123035
123,3,3,0,1,44,luxe,587270.9610520382
148,6,8,0,0,71,populaire,519749.38560146256
30,6,6,0,0,19,luxe,346901.86274291825
239,4,12,1,0,70,luxe,929435.8527411299
204,1,1,0,0,64,luxe,831988.5916589329
236,7,0,1,1,59,centre,936118.898323793
197,1,8,1,0,25,populaire,652358.734965954
170,2,0,0,0,72,populaire,479693.8933191689
178,3,5,0,0,22,populaire,623928.7849763277
241,1,14,0,0,39,populaire,830959.494100736
61,5,14,0,0,1,calme,311727.7546088449
118,3,1,0,0,25,centre,462250.20675863913
26,6,3,1,0,77,calme,138440.22683912033
163,3,5,1,0,61,centre,646582.2140239264
109,5,4,1,1,43,populaire,429539.27792161703
131,4,10,1,0,30,calme,564121.8566877673
79,5,5,1,0,25,luxe,511437.3470406083
132,5,2,0,0,4,populaire,512219.90302123723
21,4,4,0,0,69,populaire,-16465.419681998923
148,4,1,1,1,34,luxe,710721.4946998524
67,4,6,0,0,15,populaire,281500.27300232
159,4,2,0,1,30,centre,695941.7741339717
216,4,0,1,1,13,populaire,870892.1147635534
56,5,13,1,1,24,centre,389674.7092311291
179,2,7,1,1,78,centre,657097.9323411968
28,2,7,0,0,74,populaire,-9405.747934203951
118,1,2,1,1,70,luxe,543678.5471605576
166,2,12,1,1,17,centre,727527.0692766048
67,6,6,0,0,49,calme,281048.18761998095
227,2,8,0,1,19,centre,934543.8512803209
150,5,7,1,1,55,luxe,643572.2788386405
167,4,2,0,1,1,populaire,613581.328707192
171,4,14,1,1,25,luxe,758012.5304743539
73,7,12,0,0,22,luxe,454939.89082562685
139,7,1,1,1,31,populaire,532083.201163899
180,7,12,0,0,12,calme,783537.3260461519
171,5,9,0,0,12,calme,657845.9853646694
135,6,6,0,0,16,centre,604400.2638904545
94,2,6,1,1,57,centre,403281.1067197174
132,5,8,1,1,26,calme,573343.8248769857
219,1,4,1,0,16,populaire,751857.3996007339
183,4,3,0,0,37,luxe,791897.3784279409
185,7,7,0,0,13,populaire,678948.7767931407
123,3,13,0,0,13,luxe,634593.4095931068
103,1,3,1,0,11,luxe,563571.0538477891
246,7,3,0,0,68,calme,910255.9643577916
131,6,11,1,1,67,calme,608749.3694973182
236,1,13,1,1,54,populaire,825356.3602664855
118,5,11,1,1,62,luxe,632181.6421016685
172,2,1,1,0,28,populaire,568207.6036128092
112,4,12,1,1,44,centre,523547.0167980426
165,6,14,0,0,3,calme,693188.0205270593
147,6,0,0,0,15,calme,562820.3700725363
129,3,3,0,1,65,luxe,569446.9407296756
101,1,6,0,0,22,calme,404220.66917448415
213,3,11,0,1,67,populaire,769017.309530623
73,2,8,0,1,19,luxe,459345.29801759584
182,7,8,1,1,16,luxe,902086.6735734221
227,2,11,0,0,51,centre,839765.3916973172
208,7,9,1,0,5,populaire,820565.4460126655
188,3,14,1,0,38,luxe,824024.4222796946
247,4,0,1,1,33,calme,911330.1492888978
180,2,4,1,0,53,calme,633024.8113756013
87,3,6,1,1,64,luxe,463898.36443256453
52,1,12,0,0,28,calme,211801.1686330799
161,3,6,0,1,40,luxe,744127.4571663685
40,3,9,0,1,62,luxe,284666.49179653707
67,5,5,1,0,31,luxe,436835.45977595303
167,2,10,0,0,65,calme,590167.9590656332
147,4,9,0,1,44,calme,587046.2169688686
155,4,3,1,1,16,populaire,558072.1511685184
154,5,2,1,0,42,centre,689056.8492559453
214,7,11,0,1,65,calme,787082.3298510775
164,6,12,1,0,67,luxe,830683.6712906195
147,7,8,1,0,33,calme,636714.7475517546
52,4,14,1,1,0,calme,278119.28418049024
195,3,11,0,0,22,luxe,865468.9451713403
223,5,12,1,1,5,populaire,871171.2294923458
206,1,9,1,0,15,luxe,943778.7013063686
134,2,3,1,1,1,populaire,468533.9023954096
233,2,7,1,0,75,calme,789069.6758328768
138,2,12,1,0,26,luxe,676344.580841769
41,3,0,0,1,18,calme,221298.90776347605
177,1,6,0,0,27,luxe,808517.3516861429
57,5,11,1,1,34,calme,282555.16453850304
249,5,5,1,1,67,calme,907094.3404541373
128,2,12,0,1,48,calme,560105.2217665242
70,1,11,0,1,6,luxe,439632.9910279408
201,1,0,1,1,36,populaire,670136.2917779882
27,1,14,1,0,24,calme,184672.16998339
46,4,3,0,0,40,luxe,255475.12541592447
46,4,11,1,0,61,luxe,338348.58390272065
245,2,14,1,0,40,calme,901541.6677637191
40,1,13,0,0,13,calme,187936.60104427658
49,6,4,0,0,53,populaire,205361.06667573025
116,1,10,0,0,1,calme,487875.4153730097
47,5,7,0,1,78,populaire,116667.45867486854
130,5,14,1,1,47,centre,602543.9940275273
211,2,3,1,1,50,luxe,903010.0240939397
244,6,2,1,0,54,populaire,851136.1048542374
216,1,1,1,1,11,calme,803191.8752616323
80,7,3,0,0,68,populaire,274803.85959930334
67,6,10,0,0,0,calme,375524.0759193867
166,2,9,1,0,58,populaire,569611.8168649289
23,5,13,1,1,72,luxe,248115.02006784792
54,7,12,1,1,33,populaire,260267.12040396716
211,5,3,0,1,45,centre,783256.5533614447
68,4,12,0,0,58,luxe,441950.3652132988
36,2,9,0,0,65,populaire,60951.21960409636
191,2,4,1,0,18,centre,757894.6915869028
239,1,12,1,0,27,centre,899064.7844018519
177,1,6,1,1,39,populaire,643327.344490386
240,4,8,0,1,56,luxe,1040842.2714666226
65,7,1,1,1,50,populaire,247408.73685364923
136,3,4,0,1,21,luxe,628865.1297900361
25,6,10,1,0,67,luxe,266113.8734125333
118,3,9,1,0,7,populaire,439119.5188548219
143,3,8,0,1,59,centre,609829.409322791
56,2,11,0,0,64,luxe,320061.3445180157
43,6,13,1,0,35,calme,250424.35238921386
112,2,12,0,1,70,calme,446113.3203827268
65,6,2,0,1,28,centre,316220.2422135346
200,5,0,0,0,64,centre,756661.9341068484
114,2,1,0,1,55,populaire,371765.2203421762
118,2,13,0,1,3,luxe,613166.2798246559
207,2,5,1,1,71,populaire,706921.7848652414
244,7,4,1,1,49,calme,964648.1149401326
135,4,0,1,1,38,calme,575873.0001651413
210,2,0,1,1,34,luxe,897769.4121907551
232,1,10,0,1,24,luxe,927018.5688211566
179,1,3,1,1,77,calme,594072.1437197349
234,6,11,0,1,43,populaire,871907.0492975436
180,5,14,1,0,46,luxe,832442.7910955461
86,4,3,1,1,39,populaire,316223.94307525747
147,7,14,0,1,30,luxe,747901.2140029401
37,6,5,1,1,68,centre,227058.89405214926
44,1,5,1,0,73,populaire,76662.77540682972
242,4,9,1,1,42,calme,921588.6067424564
73,4,13,1,1,54,centre,374122.7557367489
77,5,5,1,0,15,populaire,313160.73813174386
86,4,0,1,0,67,luxe,436701.8151301481
123,2,9,1,1,68,calme,465674.89271948783
193,4,8,0,0,41,luxe,861371.183815154
43,5,10,1,0,40,populaire,201572.23520618706
133,6,6,1,0,49,centre,623661.4230035961
51,5,6,1,0,5,populaire,224844.77562222962
194,7,10,1,0,74,calme,734384.9412679338
105,5,6,1,1,52,centre,490590.655955563
170,1,1,1,0,16,calme,629542.7923922422
213,2,1,0,1,56,luxe,881024.1637774941
146,1,5,1,1,66,centre,592210.5806434533
174,6,6,1,1,15,populaire,684194.9307071321
149,3,2,0,0,51,luxe,649655.2919460338
237,6,12,0,1,33,luxe,1069659.638617867
36,2,3,1,0,19,populaire,178293.64485797848
123,4,13,1,1,79,luxe,581269.7909104151
180,5,11,1,1,55,calme,732029.1665536582
156,3,2,0,1,50,populaire,524280.8377289424
62,2,6,0,0,52,luxe,321682.5993690197
195,1,6,1,1,48,centre,749912.096731608
58,5,3,1,0,3,populaire,238806.66379222932
240,6,12,0,0,17,populaire,934197.5624034011
189,1,6,0,0,35,luxe,827094.4604558962
45,2,4,0,1,34,populaire,124702.22711084118
118,2,0,0,1,29,populaire,420337.34840256756
69,6,9,1,1,62,populaire,243376.07439183645
172,3,3,0,1,20,populaire,599210.68259194
171,6,6,0,0,51,populaire,638889.7516292196
32,4,12,1,1,68,populaire,182502.75478298884
79,1,14,0,0,40,calme,257693.05908932333
154,3,1,1,0,53,luxe,683922.9334560802
76,5,1,0,1,29,calme,361228.9511755237
55,7,0,1,1,55,luxe,384263.56964622677
192,4,1,0,0,78,populaire,620218.3600689287
39,3,9,1,0,40,luxe,297331.73797395354
84,7,13,1,1,13,calme,470822.0118050552
27,7,7,0,1,20,luxe,318247.7658974406
163,1,10,1,1,24,populaire,608278.8922441707
161,2,7,1,0,49,populaire,573062.2063530338
223,5,7,0,0,52,populaire,797846.456212908
134,6,14,1,1,47,calme,579480.2357042715
234,1,0,1,0,69,centre,787293.137620493
162,4,0,0,0,47,populaire,554696.1023870888
111,7,11,0,0,3,populaire,414129.91834724654
117,4,9,1,0,23,luxe,623370.2679442689
85,7,3,1,1,30,centre,469980.80151056626
51,2,5,1,0,74,luxe,293281.4205894458
234,2,7,1,1,28,calme,902004.6614272582
210,5,12,1,1,4,centre,963643.8502083014
105,6,1,0,0,66,populaire,382362.833766596
70,5,12,1,1,74,centre,349457.91771546844
172,2,2,0,1,52,populaire,517310.75058020477
205,2,5,0,1,63,calme,791628.3591415363
82,4,9,0,0,34,luxe,413659.88719187386
209,2,3,0,1,11,calme,809236.1498257429
144,3,11,1,0,46,calme,562798.0000347497
169,7,1,1,1,54,populaire,637560.5458622467
77,1,6,1,1,68,luxe,447479.2045604695
77,2,3,0,1,37,calme,320318.13272921793
105,5,7,0,1,28,centre,488358.16354791383
68,6,7,1,0,11,calme,364539.29331739736
199,7,6,0,1,18,populaire,719609.3679145261
189,7,9,1,1,8,centre,835978.6521522615
89,6,8,0,1,28,centre,453152.54596772185
34,6,3,0,0,2,luxe,349292.3856820622
73,7,6,0,0,29,centre,430091.31761860097
207,3,9,0,1,57,centre,847938.3370493929
120,5,9,0,1,52,populaire,463619.06409803487
244,3,14,0,1,3,luxe,1111763.060392025
27,2,11,0,1,56,calme,158174.0005486005
72,1,0,1,0,53,centre,306325.59276164527
79,6,3,1,0,27,calme,340497.1594345412
127,5,1,0,0,15,calme,522454.1838489763
24,6,8,0,1,12,calme,158725.42150165158
122,3,4,1,1,71,luxe,563338.1273767728
215,4,2,0,1,55,calme,803446.1191698451
25,2,3,1,1,52,populaire,78290.14686335342
128,1,5,1,0,47,luxe,567122.4424418807
243,2,9,1,0,24,luxe,977786.6345533441
135,4,0,1,0,65,luxe,595672.9517318226
113,1,6,1,1,29,luxe,565846.5867230123
66,4,7,0,1,2,centre,388676.80660733604
118,2,6,0,1,22,centre,543765.1715981765
74,3,6,1,1,28,calme,338765.67824052024
187,7,8,0,1,40,centre,788956.4287787133
71,2,12,1,0,10,luxe,428305.68000156106
163,2,3,0,1,20,calme,634390.5214593592
32,2,13,0,1,23,populaire,163030.97864505806
133,5,6,0,0,64,centre,512084.87592503265
143,4,8,0,0,0,luxe,647638.8594358676
125,4,14,0,1,53,calme,518776.11219784635
177,6,4,0,0,71,centre,731771.7777642129
166,4,1,0,1,33,luxe,769184.1742369938
164,6,14,0,1,79,calme,613257.1764946737
139,5,4,1,0,67,centre,569342.4838482908
82,3,3,1,1,28,populaire,311666.24404380255
38,6,7,0,1,2,centre,326472.34399893373
111,2,14,0,1,10,luxe,570464.0076410056
77,3,4,0,0,7,luxe,497707.2376609289
202,7,8,1,0,61,populaire,714612.6908996915
109,5,8,0,0,32,populaire,375719.98132878816
248,4,2,0,0,7,calme,953645.456792406
237,6,12,1,1,24,calme,922686.1699375077
136,2,9,1,0,25,luxe,715719.0975356055
81,1,14,1,1,25,centre,425478.62212738756
42,7,5,0,0,16,populaire,182651.42464864405
146,1,5,1,0,28,calme,528438.6429130875
156,3,3,0,1,42,luxe,704334.1635109036
159,4,10,1,0,72,luxe,738660.4364112348
148,1,12,0,0,77,luxe,613524.1979296014
77,3,9,0,1,4,populaire,290849.8563200456
141,5,2,0,0,49,populaire,499629.11102361244
20,3,0,1,1,55,populaire,28517.207424722415
53,7,11,0,0,62,centre,302520.0919206797
115,3,6,0,1,56,populaire,400857.9305603842
145,7,14,0,0,44,luxe,723018.5369081704
137,3,14,1,1,36,populaire,529442.3508052888
67,2,4,0,0,71,centre,242983.62131742993
108,3,13,0,1,78,centre,450367.3813443558
136,6,9,0,0,35,luxe,661452.6704222956
148,3,14,0,0,32,calme,588125.3565675577
35,2,6,1,0,5,populaire,90523.06277440523
208,2,0,0,1,75,populaire,631026.4245406636
211,5,7,1,1,70,centre,912312.9915040509
210,7,2,1,0,44,centre,881764.5595126598
88,4,6,0,0,6,calme,387615.0866574038
41,1,11,1,0,64,centre,208779.54808236178
112,1,2,1,0,23,centre,538540.4515621689
214,3,13,1,0,44,centre,799778.7979644843
95,5,2,0,0,60,centre,409920.5848958625
173,3,9,1,0,18,calme,680254.0554548677
163,1,8,1,0,31,populaire,597778.2829306693
198,7,12,0,0,29,populaire,755214.5687670612
248,7,1,0,0,64,populaire,920924.0273943179
105,7,13,1,1,31,populaire,471928.1910890384
204,2,3,1,1,56,populaire,685729.1912882746
48,4,5,1,0,19,luxe,356938.58080454054
225,5,13,0,0,29,luxe,1005045.3343923908
239,2,2,1,0,58,centre,941084.7413462995
88,4,11,0,1,61,luxe,457746.69367238105
66,5,9,1,1,66,populaire,255679.73255916024
113,5,13,1,0,30,centre,477718.3397817494
209,1,9,0,0,65,populaire,665707.4004575969
